EEID,Full Name,Job Title,Department,Business Unit,Age,Gender,Ethnicity,City,Country,Hire Date,Exit Date,Annual Salary,Bonus %
E04342,Samantha Barnes,Vice President,Marketing,Speciality Products,29,Female,Caucasian,Columbus,United States,1/5/2017,,$190401,37% 
E03904,Hunter Ortiz,Sr. Analyst,Finance,Corporate,46,Male,Latino,Rio de Janerio,Brazil,1/20/2013,,$86061,0% 
E01291,Thomas Aguilar,Sr. Account Representative,Sales,Speciality Products,45,Male,Latino,Phoenix,United States,2/10/2021,,$79882,0% 
E00917,Skylar Bell,Vice President,Engineering,Manufacturing,30,Female,Caucasian,Columbus,United States,3/6/2018,,$255431,36% 
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,48,Female,Asian,Beijing,China,8/22/2003,,$82017,0% 
E03864,Ella Hunter,Analyst,Finance,Manufacturing,51,Female,Caucasian,Columbus,United States,1/18/2017,,$53799,0% 
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,28,Female,Caucasian,Phoenix,United States,7/3/2021,,$82739,0% 
E02227,Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,36,Female,Caucasian,Chicago,United States,5/30/2014,,$99080,0% 
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,40,Female,Asian,Chengdu,China,1/20/2011,,$96719,0% 
E01970,Vivian Barnes,Director,Human Resources,Research & Development,51,Female,Caucasian,Phoenix,United States,3/28/2021,,$180687,19% 
E02813,Kai Chow,Engineering Manager,Engineering,Corporate,45,Male,Asian,Austin,United States,4/12/2001,1/15/2010,$95743,15% 
E02031,Melody Cooper,Development Engineer,Engineering,Research & Development,44,Female,Caucasian,Austin,United States,9/4/2009,,$89695,0% 
E03252,James Bui,Manager,Finance,Manufacturing,64,Male,Asian,Chongqing,China,7/20/1998,,$122753,9% 
E04871,Liam Grant,Sr. Business Partner,Human Resources,Research & Development,30,Male,Caucasian,Phoenix,United States,3/15/2015,,$93734,0% 
E03547,Owen Han,Analyst,Accounting,Corporate,28,Male,Asian,Chongqing,China,5/12/2017,,$52069,0% 
E04742,Kinsley Vega,Vice President,Accounting,Corporate,33,Female,Latino,Rio de Janerio,Brazil,12/16/2020,,$258426,40% 
E01070,Leonardo Martin,Manager,Finance,Speciality Products,51,Male,Black,Chicago,United States,2/16/1995,,$125375,9% 
E04359,Greyson Lam,Vice President,Accounting,Manufacturing,25,Male,Asian,Miami,United States,2/8/2021,,$198243,31% 
E03268,Emilia Rivera,Test Engineer,Engineering,Research & Development,42,Female,Latino,Miami,United States,11/23/2017,,$96023,0% 
E04035,Penelope Johnson,Sr. Analyst,Marketing,Research & Development,34,Female,Caucasian,Chicago,United States,6/25/2012,6/5/2013,$83066,0% 
E01221,Eva Figueroa,Analyst II,Sales,Research & Development,48,Female,Latino,Seattle,United States,5/14/2014,,$61216,0% 
E00276,Ezekiel Jordan,Sr. Manger,Accounting,Corporate,33,Male,Caucasian,Columbus,United States,2/10/2013,7/17/2020,$144231,14% 
E01687,Luke Mai,HRIS Analyst,Human Resources,Research & Development,41,Male,Asian,Beijing,China,10/24/2007,,$51630,0% 
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,55,Male,Latino,Sao Paulo,Brazil,11/16/2013,,$124129,15% 
E01263,Adam Espinoza,Test Engineer,Engineering,Manufacturing,36,Male,Latino,Seattle,United States,4/9/2009,,$60055,0% 
E00119,Jack Maldonado,Director,Engineering,Research & Development,31,Male,Latino,Sao Paulo,Brazil,8/26/2020,9/25/2020,$189290,22% 
E03935,Cora Jiang,Vice President,IT,Corporate,53,Female,Asian,Austin,United States,4/30/2008,,$182202,30% 
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,43,Male,Caucasian,Seattle,United States,1/31/2006,,$117518,7% 
E02810,Layla Torres,Sr. Manger,Finance,Manufacturing,37,Female,Latino,Rio de Janerio,Brazil,2/24/2013,,$157474,11% 
E01860,Jack Edwards,Manager,Marketing,Manufacturing,38,Male,Caucasian,Columbus,United States,4/6/2008,,$126856,6% 
E04890,Eleanor Chan,Sr. Manger,Accounting,Manufacturing,49,Female,Asian,Shanghai,China,4/2/2001,,$129124,12% 
E02285,Aria Xi,Director,Sales,Research & Development,45,Female,Asian,Seattle,United States,3/1/2002,,$165181,16% 
E00842,John Vega,Vice President,Finance,Corporate,50,Male,Latino,Rio de Janerio,Brazil,1/18/2004,,$247939,35% 
E01271,Luke Munoz,Director,Engineering,Speciality Products,64,Male,Latino,Manaus,Brazil,8/25/2017,,$169509,18% 
E01921,Sarah Daniels,Sr. Manger,Accounting,Manufacturing,55,Female,Caucasian,Miami,United States,1/9/2011,,$138521,10% 
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,45,Female,Latino,Rio de Janerio,Brazil,3/14/2014,,$113873,11% 
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,39,Female,Black,Miami,United States,5/9/2018,,$73317,0% 
E00870,Evelyn Liang,Service Desk Analyst,IT,Speciality Products,40,Female,Asian,Seattle,United States,6/26/2013,,$69096,0% 
E04167,Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,48,Male,Latino,Manaus,Brazil,4/12/2005,,$87158,0% 
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,64,Male,Latino,Austin,United States,9/28/1992,,$70778,0% 
E00976,Zoe Rodriguez,Director,Human Resources,Speciality Products,65,Female,Latino,Phoenix,United States,5/23/2004,,$153938,20% 
E04112,Axel Chu,Systems Analyst,IT,Research & Development,43,Male,Asian,Beijing,China,5/4/2018,,$59888,0% 
E01807,Cameron Evans,Test Engineer,Engineering,Corporate,50,Male,Caucasian,Columbus,United States,12/13/2018,,$63098,0% 
E04103,Isabella Soto,Vice President,Finance,Corporate,27,Female,Latino,Sao Paulo,Brazil,12/15/2021,,$255369,33% 
E01412,Eva Jenkins,Sr. Manger,Human Resources,Manufacturing,55,Female,Black,Chicago,United States,11/10/2004,,$142318,14% 
E04386,Cameron Powell,Business Partner,Human Resources,Manufacturing,41,Male,Black,Austin,United States,8/20/2004,6/17/2008,$49186,0% 
E01232,Samantha Foster,Vice President,Human Resources,Research & Development,34,Female,Black,Austin,United States,7/27/2019,,$220937,38% 
E04572,Jade Li,Director,IT,Speciality Products,47,Female,Asian,Seattle,United States,10/26/2012,,$183156,30% 
E02747,Kinsley Acosta,Vice President,IT,Speciality Products,32,Female,Latino,Chicago,United States,7/22/2020,,$192749,31% 
E01064,Clara Kang,Sr. Manger,IT,Manufacturing,39,Female,Asian,Phoenix,United States,3/25/2017,,$135325,14% 
E00178,Harper Alexander,Sr. Analyst,Sales,Speciality Products,26,Female,Caucasian,Phoenix,United States,10/14/2019,,$79356,0% 
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,40,Male,Black,Seattle,United States,7/7/2005,,$74412,0% 
E01525,Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,32,Female,Latino,Rio de Janerio,Brazil,10/2/2017,,$61886,9% 
E01309,Everleigh Jiang,Director,Accounting,Research & Development,58,Female,Asian,Columbus,United States,5/14/2003,,$173071,29% 
E02378,Audrey Smith,Field Engineer,Engineering,Research & Development,58,Female,Caucasian,Columbus,United States,10/27/1995,,$70189,0% 
E04127,Emery Acosta,Vice President,Sales,Research & Development,42,Female,Latino,Columbus,United States,9/11/2013,,$181452,30% 
E02072,Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,26,Male,Caucasian,Seattle,United States,3/12/2021,,$70369,0% 
E02555,Landon Lopez,Sr. Analyst,Accounting,Manufacturing,38,Male,Latino,Sao Paulo,Brazil,7/5/2008,,$78056,0% 
E00187,Miles Mehta,Director,Finance,Research & Development,64,Male,Asian,Miami,United States,5/2/1996,,$189933,23% 
E04332,Ezra Simmons,Automation Engineer,Engineering,Speciality Products,38,Male,Caucasian,Phoenix,United States,7/1/2010,,$78237,0% 
E02062,Nora Santiago,Analyst,Accounting,Research & Development,55,Female,Latino,Rio de Janerio,Brazil,6/26/1996,,$48687,0% 
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,45,Female,Latino,Rio de Janerio,Brazil,8/19/2004,,$121065,15% 
E00273,David Owens,Sr. Analyst,Sales,Corporate,43,Male,Black,Austin,United States,4/16/2004,,$94246,0% 
E00691,Avery Yee,Systems Analyst,IT,Manufacturing,34,Female,Asian,Miami,United States,5/22/2016,,$44614,0% 
E01403,Xavier Park,Vice President,IT,Research & Development,40,Male,Asian,Chengdu,China,11/8/2020,,$234469,31% 
E03438,Asher Morales,Automation Engineer,Engineering,Research & Development,52,Male,Latino,Sao Paulo,Brazil,7/10/2020,,$88272,0% 
E04136,Mason Cao,Analyst II,Finance,Corporate,52,Male,Asian,Beijing,China,9/14/2017,,$74449,0% 
E02944,Joshua Fong,Vice President,Engineering,Speciality Products,47,Male,Asian,Beijing,China,6/11/2012,,$222941,39% 
E03300,Maria Chin,Analyst,Marketing,Manufacturing,65,Female,Asian,Beijing,China,9/26/2013,,$50341,0% 
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,31,Female,Latino,Manaus,Brazil,4/11/2021,,$72235,0% 
E00825,Anna Molina,Sr. Analyst,Accounting,Corporate,41,Female,Latino,Columbus,United States,6/12/2016,,$70165,0% 
E04972,Logan Bryant,Sr. Manger,Marketing,Speciality Products,30,Male,Caucasian,Miami,United States,7/18/2020,,$148485,15% 
E03941,Isla Han,Technical Architect,IT,Manufacturing,58,Female,Asian,Chicago,United States,6/18/2005,,$86089,0% 
E02148,Christopher Vega,Engineering Manager,Engineering,Research & Development,54,Male,Latino,Chicago,United States,10/27/2007,,$106313,15% 
E02252,Lillian Park,Analyst,Marketing,Research & Development,40,Female,Asian,Chengdu,China,2/24/2021,11/10/2021,$46833,0% 
E03096,Kennedy Zhang,Director,Finance,Research & Development,63,Female,Asian,Chongqing,China,10/27/2000,,$155320,17% 
E04800,Eli Han,Sr. Analyst,Accounting,Manufacturing,40,Male,Asian,Chengdu,China,1/15/2016,,$89984,0% 
E02838,Julia Pham,Engineering Manager,Engineering,Speciality Products,65,Female,Asian,Shanghai,China,3/16/2006,,$83756,14% 
E02980,Hailey Shin,Director,Human Resources,Corporate,57,Female,Asian,Shanghai,China,10/24/2016,,$176324,23% 
E04477,Connor Grant,Sr. Analyst,Accounting,Speciality Products,27,Male,Caucasian,Seattle,United States,10/13/2021,,$74077,0% 
E04348,Natalia Owens,Manager,Human Resources,Manufacturing,31,Female,Caucasian,Austin,United States,1/18/2021,,$104162,7% 
E01638,Maria He,IT Systems Architect,IT,Corporate,45,Female,Asian,Beijing,China,8/28/2010,10/3/2020,$82162,0% 
E03419,Jade Yi,Account Representative,Sales,Speciality Products,47,Female,Asian,Chongqing,China,7/10/2015,,$63880,0% 
E04222,Quinn Xiong,Test Engineer,Engineering,Research & Development,55,Female,Asian,Columbus,United States,9/8/2013,,$73248,0% 
E04126,Dominic Baker,Sr. Analyst,Accounting,Manufacturing,51,Male,Black,Chicago,United States,10/9/2020,,$91853,0% 
E01896,Adam Nelson,Director,Finance,Speciality Products,25,Male,Caucasian,Chicago,United States,1/14/2020,7/27/2021,$168014,27% 
E03018,Autumn Reed,Development Engineer,Engineering,Corporate,37,Female,Caucasian,Miami,United States,9/17/2017,,$70770,0% 
E03325,Robert Edwards,HRIS Analyst,Human Resources,Corporate,62,Male,Caucasian,Seattle,United States,10/11/2004,,$50825,0% 
E04037,Roman Martinez,Sr. Manger,Finance,Research & Development,31,Male,Latino,Manaus,Brazil,9/19/2015,,$145846,15% 
E01902,Eleanor Li,Sr. Manger,Human Resources,Research & Development,64,Female,Asian,Chicago,United States,12/7/2003,,$125807,15% 
E01466,Connor Vang,Analyst,Sales,Speciality Products,25,Male,Asian,Miami,United States,7/28/2021,,$46845,0% 
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,59,Female,Asian,Chongqing,China,8/29/2008,,$157969,10% 
E03474,Violet Hall,Solutions Architect,IT,Corporate,40,Female,Caucasian,Chicago,United States,12/10/2010,,$97807,0% 
E02744,Dylan Padilla,HRIS Analyst,Human Resources,Manufacturing,31,Male,Latino,Seattle,United States,12/9/2015,,$73854,0% 
E00702,Nathan Pham,Sr. Manger,Accounting,Manufacturing,45,Male,Asian,Seattle,United States,12/12/2006,,$149537,14% 
E03081,Ayla Brown,Sr. Manger,Sales,Manufacturing,49,Female,Caucasian,Phoenix,United States,4/15/2013,,$128303,15% 
E01281,Isaac Mitchell,Network Architect,IT,Speciality Products,46,Male,Black,Austin,United States,6/10/2005,,$67374,0% 
E04029,Jayden Jimenez,Manager,Human Resources,Corporate,46,Male,Latino,Rio de Janerio,Brazil,9/24/2011,,$102167,6% 
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,45,Male,Asian,Shanghai,China,9/7/2007,,$151027,10% 
E01753,Connor Fong,Manager,Accounting,Speciality Products,40,Male,Asian,Seattle,United States,2/16/2018,,$120905,5% 
E04072,Emery Mitchell,Vice President,Finance,Manufacturing,48,Female,Caucasian,Seattle,United States,6/2/2018,,$231567,36% 
E00672,Landon Luu,Vice President,IT,Research & Development,31,Male,Asian,Miami,United States,7/12/2015,,$215388,33% 
E04419,Sophia Ahmed,Sr. Manger,Sales,Speciality Products,30,Female,Asian,Seattle,United States,6/13/2015,,$127972,11% 
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,55,Female,Asian,Chicago,United States,8/4/1995,4/14/2005,$80701,0% 
E00365,Jonathan Patel,Manager,Marketing,Corporate,28,Male,Asian,Shanghai,China,2/2/2020,,$115417,6% 
E00306,Piper Patterson,Quality Engineer,Engineering,Corporate,45,Female,Caucasian,Chicago,United States,6/19/2019,,$88045,0% 
E03292,Cora Evans,Computer Systems Manager,IT,Speciality Products,45,Female,Black,Austin,United States,3/26/2018,,$86478,6% 
E04779,Cameron Young,Vice President,Engineering,Manufacturing,63,Male,Caucasian,Seattle,United States,1/18/2016,,$180994,39% 
E00501,Melody Ho,Analyst II,Finance,Research & Development,55,Female,Asian,Columbus,United States,12/2/2007,,$64494,0% 
E01132,Aiden Bryant,Account Representative,Sales,Manufacturing,47,Male,Black,Columbus,United States,10/21/2002,,$70122,0% 
E00556,Grayson Walker,Director,Accounting,Manufacturing,29,Male,Caucasian,Seattle,United States,2/19/2017,4/24/2020,$181854,29% 
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,34,Female,Latino,Miami,United States,10/21/2016,,$52811,0% 
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,28,Female,Asian,Chengdu,China,10/25/2019,,$50111,0% 
E04378,Ezra Simmons,Network Administrator,IT,Manufacturing,31,Male,Black,Austin,United States,5/7/2016,,$71192,0% 
E03251,Ruby Medina,Director,Sales,Manufacturing,50,Female,Latino,Seattle,United States,12/18/2018,,$155351,20% 
E03167,Luke Zheng,Director,Human Resources,Speciality Products,39,Male,Asian,Beijing,China,11/28/2006,,$161690,29% 
E03347,Rylee Dinh,Development Engineer,Engineering,Speciality Products,35,Female,Asian,Chongqing,China,2/10/2017,,$60132,0% 
E03908,Miles Evans,Network Architect,IT,Manufacturing,54,Male,Caucasian,Miami,United States,10/24/1994,,$87216,0% 
E01351,Leo Owens,Systems Analyst,IT,Corporate,47,Male,Caucasian,Seattle,United States,4/23/2020,,$50069,0% 
E02681,Caroline Owens,Director,IT,Speciality Products,26,Female,Caucasian,Phoenix,United States,7/26/2021,,$151108,22% 
E03807,Kennedy Do,Computer Systems Manager,IT,Manufacturing,42,Female,Asian,Phoenix,United States,10/15/2005,,$67398,7% 
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,47,Female,Latino,Seattle,United States,8/29/2015,,$68488,0% 
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,60,Female,Latino,Columbus,United States,7/16/1998,,$92932,0% 
E04601,Allison Ayala,Analyst,Finance,Corporate,36,Female,Latino,Austin,United States,6/30/2009,,$43363,0% 
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,31,Male,Asian,Chengdu,China,2/14/2017,,$95963,0% 
E02147,Allison Medina,Manager,Finance,Speciality Products,55,Female,Latino,Sao Paulo,Brazil,4/29/2010,,$111038,5% 
E02914,Maria Wilson,Vice President,Engineering,Research & Development,51,Female,Caucasian,Columbus,United States,6/14/1996,,$200246,34% 
E03268,Everly Coleman,Vice President,IT,Corporate,48,Female,Caucasian,Columbus,United States,2/18/2015,,$194871,35% 
E03972,Jordan Gomez,Sr. Analyst,Accounting,Research & Development,58,Male,Latino,Rio de Janerio,Brazil,9/15/1994,10/3/2016,$98769,0% 
E02189,Isla Chavez,Account Representative,Sales,Research & Development,29,Female,Latino,Rio de Janerio,Brazil,5/19/2018,,$65334,0% 
E04290,Hannah Gomez,Technical Architect,IT,Manufacturing,25,Female,Latino,Miami,United States,5/11/2021,,$83934,0% 
E03630,Jacob Davis,Director,Accounting,Research & Development,36,Male,Caucasian,Chicago,United States,9/3/2016,,$150399,28% 
E00432,Eli Gupta,Director,Human Resources,Research & Development,37,Male,Asian,Beijing,China,5/19/2012,,$160280,19% 
E03045,Andrew Huynh,Business Partner,Human Resources,Speciality Products,57,Male,Asian,Miami,United States,4/28/1997,10/11/1998,$54051,0% 
E01924,Anna Gutierrez,Director,Engineering,Research & Development,59,Female,Latino,Sao Paulo,Brazil,4/15/2003,,$150699,29% 
E04877,Samuel Vega,Analyst II,Marketing,Speciality Products,37,Male,Latino,Miami,United States,3/30/2013,,$69570,0% 
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,30,Female,Asian,Chengdu,China,3/29/2019,,$86774,0% 
E04590,Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,49,Male,Caucasian,Miami,United States,3/29/2001,,$57606,0% 
E01977,Raelynn Gupta,Sr. Manger,Finance,Corporate,48,Female,Asian,Chongqing,China,9/10/2001,,$125730,11% 
E01378,Genesis Xiong,System Administrator ,IT,Research & Development,51,Female,Asian,Columbus,United States,2/25/2012,,$64170,0% 
E04224,Lucas Ramos,Sr. Business Partner,Human Resources,Speciality Products,56,Male,Latino,Phoenix,United States,1/21/1998,,$72303,0% 
E03423,Santiago f Gonzalez,Manager,Sales,Research & Development,36,Male,Latino,Seattle,United States,7/26/2012,,$105891,7% 
E01584,Henry Zhu,Vice President,Marketing,Speciality Products,38,Male,Asian,Austin,United States,8/25/2021,,$255230,36% 
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,56,Female,Latino,Sao Paulo,Brazil,6/15/1992,,$59591,0% 
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,52,Female,Asian,Chengdu,China,7/23/2012,,$187048,32% 
E00834,Vivian Guzman,Analyst II,Finance,Speciality Products,53,Female,Latino,Phoenix,United States,2/9/2002,,$58605,0% 
E04571,Hadley Contreras,Director,Engineering,Corporate,60,Female,Latino,Austin,United States,1/4/2017,,$178502,20% 
E02652,Nathan Sun,Manager,Accounting,Speciality Products,63,Male,Asian,Shanghai,China,7/29/2015,,$103724,5% 
E02693,Grace Campos,Director,Engineering,Research & Development,37,Female,Latino,Manaus,Brazil,3/21/2008,,$156277,22% 
E03359,Autumn Ortiz,Field Engineer,Engineering,Research & Development,30,Female,Latino,Sao Paulo,Brazil,12/17/2017,,$87744,0% 
E00399,Connor Walker,Analyst II,Finance,Manufacturing,30,Male,Caucasian,Columbus,United States,3/18/2019,,$54714,0% 
E02971,Mia Wu,Enterprise Architect,IT,Corporate,45,Female,Asian,Beijing,China,8/25/2013,,$99169,0% 
E03327,Julia Luong,Sr. Manger,Accounting,Research & Development,55,Female,Asian,Chongqing,China,6/20/2006,,$142628,12% 
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,33,Female,Latino,Sao Paulo,Brazil,4/27/2014,,$75869,0% 
E00836,Addison Roberts,Network Architect,IT,Manufacturing,65,Female,Caucasian,Seattle,United States,5/14/2018,,$60985,0% 
E03854,Camila Li,Sr. Manger,IT,Research & Development,60,Female,Asian,Shanghai,China,7/24/2010,,$126911,10% 
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,56,Male,Asian,Shanghai,China,2/25/2004,,$216949,32% 
E00360,Dylan Thao,Director,Engineering,Manufacturing,53,Male,Asian,Seattle,United States,10/22/2012,,$168510,29% 
E02284,Josephine Salazar,Field Engineer,Engineering,Speciality Products,36,Female,Latino,Sao Paulo,Brazil,3/14/2016,,$85870,0% 
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,46,Female,Asian,Beijing,China,1/15/2002,1/2/2003,$86510,0% 
E04168,Mila Juarez,Manager,Sales,Speciality Products,38,Female,Latino,Sao Paulo,Brazil,9/21/2017,,$119647,9% 
E02861,Daniel Perry,Enterprise Architect,IT,Research & Development,62,Male,Caucasian,Columbus,United States,4/15/2001,,$80921,0% 
E01357,Paisley Hunter,Engineering Manager,Engineering,Research & Development,61,Female,Caucasian,Chicago,United States,1/15/2010,,$98110,13% 
E04387,Everleigh White,Network Architect,IT,Speciality Products,59,Female,Caucasian,Phoenix,United States,10/20/2017,,$86831,0% 
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,49,Female,Asian,Beijing,China,9/10/2010,,$72826,0% 
E03591,Piper Sun,Director,Marketing,Manufacturing,64,Female,Asian,Seattle,United States,2/14/2011,,$171217,19% 
E03328,Lucy Johnson,Manager,IT,Research & Development,57,Female,Caucasian,Columbus,United States,4/27/2020,,$103058,7% 
E04937,Ian Ngo,Manager,Sales,Speciality Products,52,Male,Asian,Phoenix,United States,8/7/2014,,$117062,7% 
E00515,Joseph Vazquez,Sr. Manger,Accounting,Speciality Products,40,Male,Latino,Miami,United States,1/23/2019,,$159031,10% 
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,49,Female,Latino,Sao Paulo,Brazil,1/14/2004,,$125086,10% 
E03255,Jose Brown,System Administrator ,IT,Speciality Products,43,Male,Caucasian,Seattle,United States,4/7/2016,,$67976,0% 
E01711,Benjamin Ford,Analyst II,Finance,Speciality Products,31,Male,Caucasian,Phoenix,United States,4/22/2021,,$74215,0% 
E00500,Henry Shah,Director,Accounting,Manufacturing,55,Male,Asian,Chengdu,China,6/11/2010,,$187389,25% 
E04972,Ivy Daniels,Sr. Manger,Human Resources,Speciality Products,41,Female,Caucasian,Columbus,United States,10/26/2008,,$131841,13% 
E02728,Thomas Chang,Sr. Analyst,Accounting,Research & Development,34,Male,Asian,Beijing,China,7/26/2011,,$97231,0% 
E04749,Caroline Phan,Sr. Manger,Finance,Corporate,41,Female,Asian,Austin,United States,3/14/2004,,$155004,12% 
E02023,Maverick Mehta,Systems Analyst,IT,Manufacturing,40,Male,Asian,Seattle,United States,7/30/2007,,$41859,0% 
E03166,Austin Edwards,IT Coordinator,IT,Manufacturing,42,Male,Black,Chicago,United States,9/24/2006,,$52733,0% 
E02599,Daniel Huang,Vice President,Human Resources,Corporate,31,Male,Asian,Columbus,United States,9/3/2015,,$250953,34% 
E01014,Lucas Phan,Director,Marketing,Research & Development,49,Male,Asian,Chongqing,China,2/19/1999,,$191807,21% 
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,42,Male,Asian,Chongqing,China,6/23/2014,,$64677,0% 
E00085,Mason Watson,Sr. Manger,IT,Corporate,46,Male,Caucasian,Chicago,United States,9/14/2004,,$130274,11% 
E00632,Angel Chang,Network Architect,IT,Research & Development,37,Male,Asian,Shanghai,China,7/6/2017,,$96331,0% 
E02108,Madeline Coleman,Sr. Manger,Finance,Research & Development,51,Female,Caucasian,Chicago,United States,4/28/2006,8/16/2007,$150758,13% 
E03802,Thomas Vazquez,Director,Engineering,Corporate,46,Male,Latino,Sao Paulo,Brazil,7/19/2014,,$173629,21% 
E03685,Silas Hunter,Solutions Architect,IT,Corporate,55,Male,Black,Chicago,United States,5/4/1998,,$62174,0% 
E01089,Nicholas Brooks,Analyst II,Accounting,Manufacturing,43,Male,Caucasian,Phoenix,United States,10/20/2017,,$56555,0% 
E03988,Dominic Thomas,Analyst II,Marketing,Manufacturing,48,Male,Caucasian,Austin,United States,9/28/2005,,$74655,0% 
E00401,Wesley Adams,System Administrator ,IT,Corporate,48,Male,Caucasian,Seattle,United States,8/11/2003,,$93017,0% 
E03429,Ian Wu,Sr. Analyst,Marketing,Manufacturing,51,Male,Asian,Chengdu,China,4/14/2012,,$82300,0% 
E02417,Alice Young,Automation Engineer,Engineering,Research & Development,46,Female,Caucasian,Chicago,United States,1/24/2008,,$91621,0% 
E00359,Logan Carrillo,Sr. Analyst,Marketing,Research & Development,33,Male,Latino,Miami,United States,11/30/2014,,$91280,0% 
E02044,Caroline Alexander,Business Partner,Human Resources,Manufacturing,42,Female,Black,Columbus,United States,9/18/2020,,$47071,0% 
E01479,Serenity Bailey,IT Systems Architect,IT,Manufacturing,55,Female,Caucasian,Chicago,United States,11/21/2011,,$81218,0% 
E04962,Elena Tan,Vice President,Engineering,Manufacturing,50,Female,Asian,Chongqing,China,10/13/2008,12/11/2019,$181801,40% 
E02769,Eliza Adams,Account Representative,Sales,Manufacturing,26,Female,Caucasian,Chicago,United States,11/21/2021,,$63137,0% 
E03893,Alice Xiong,Vice President,Engineering,Manufacturing,55,Female,Asian,Chengdu,China,9/2/2018,,$221465,34% 
E00553,Isla Yoon,Quality Engineer,Engineering,Research & Development,50,Female,Asian,Austin,United States,5/10/2013,8/4/2019,$79388,0% 
E03540,Emma Perry,Solutions Architect,IT,Manufacturing,28,Female,Caucasian,Seattle,United States,1/22/2018,,$68176,0% 
E02769,Riley Marquez,Sr. Manger,Finance,Research & Development,39,Female,Latino,Chicago,United States,10/18/2019,,$122829,11% 
E03277,Caroline Hu,Sr. Manger,Marketing,Speciality Products,31,Female,Asian,Shanghai,China,8/18/2019,,$126353,12% 
E04194,Madison Kumar,Director,Accounting,Speciality Products,55,Female,Asian,Chengdu,China,10/17/2010,,$188727,23% 
E01807,Matthew Lim,Sr. Analyst,Sales,Research & Development,52,Male,Asian,Seattle,United States,2/18/1994,,$99624,0% 
E01762,Maya Ngo,Manager,Sales,Speciality Products,55,Female,Asian,Columbus,United States,10/20/2012,,$108686,6% 
E02632,Alice Soto,Analyst,Accounting,Corporate,56,Female,Latino,Manaus,Brazil,4/13/1995,,$50857,0% 
E04226,Andrew Moore,Operations Engineer,Engineering,Manufacturing,47,Male,Caucasian,Chicago,United States,1/2/2001,,$120628,0% 
E04101,Olivia Harris,Director,Sales,Speciality Products,63,Female,Caucasian,Columbus,United States,6/14/2020,,$181216,27% 
E01981,Genesis Banks,Analyst,Finance,Corporate,63,Female,Caucasian,Chicago,United States,3/16/2012,,$46081,0% 
E02534,Victoria Johnson,Sr. Manger,Accounting,Corporate,55,Female,Caucasian,Columbus,United States,5/28/2004,,$159885,12% 
E01238,Eloise Griffin,Director,Sales,Manufacturing,55,Female,Caucasian,Austin,United States,10/29/1995,,$153271,15% 
E01118,Roman Yang,Manager,Human Resources,Manufacturing,42,Male,Asian,Phoenix,United States,12/12/2009,,$114242,8% 
E04041,Clara Huynh,IT Coordinator,IT,Speciality Products,39,Female,Asian,Shanghai,China,11/18/2020,,$48415,0% 
E04308,Kai Flores,Development Engineer,Engineering,Manufacturing,35,Male,Latino,Seattle,United States,5/23/2017,,$65566,0% 
E01052,Jaxson Dinh,Sr. Manger,Marketing,Research & Development,45,Male,Asian,Shanghai,China,5/3/2001,12/26/2011,$147752,12% 
E04165,Sophie Vang,Sr. Manger,Marketing,Manufacturing,25,Female,Asian,Chongqing,China,9/14/2021,,$136810,14% 
E02295,Axel Jordan,Analyst,Sales,Corporate,47,Male,Caucasian,Chicago,United States,2/28/2013,,$54635,0% 
E04546,Jade Hunter,Cloud Infrastructure Architect,IT,Corporate,42,Female,Caucasian,Columbus,United States,2/5/2020,,$96636,0% 
